(4064,9)
(12733,2)
(21022,3)
(6141,10)
(7424,10)
(16614,7)
(19577,4)
(682,10)
(12591,7)
(8889,8)
(16850,2)
(8261,2)
(18186,2)
(1126,5)
(18703,3)
(10391,5)
(12190,2)
(4994,4)
(6449,10)
(1324,4)
(4661,4)
(2684,3)
(14611,1)
(5513,4)
(11342,2)
(6012,3)
(6738,8)
(10709,1)
(1885,4)
(14890,3)
(6907,3)
(16734,2)
(10698,3)
(21543,4)
(248,4)
(10193,1)
(1332,3)
(9933,9)
(3360,3)
(16872,2)
(21087,2)
(751,4)
(12642,4)
(13509,9)
(17444,5)
(7494,4)
(12113,3)
(9891,4)
(16412,4)
(2989,4)
(4748,4)
(12440,3)
(12502,4)
(14249,3)
(4115,10)
(20360,4)
(12552,2)
(13179,1)
(13241,3)
(21423,1)
(21808,2)
(19114,4)
(19913,3)
(7072,2)
(18809,4)
(20072,1)
(17261,4)
(18180,4)
(21003,9)
(1706,1)
(21739,1)
(10417,1)
(21290,1)
(3237,3)
(19154,2)
(11575,3)
(21446,2)
(5323,4)
(16136,1)
(3256,1)
(21733,4)
(1377,6)
(7810,7)
(13559,6)
(15358,4)
(974,4)
(21021,1)
(4117,9)
(5296,5)
(11578,4)
(3341,1)
(4700,4)
(9180,3)
(10419,10)
(1864,3)
(18927,2)
(4561,1)
(20732,4)
(8193,4)
(19136,2)
(2077,3)
(18292,4)
(19030,9)
(6628,3)
(6705,1)
(8969,9)
(10826,4)
(2073,1)
(4808,7)
(21312,3)
(7168,3)
(12867,3)
(4233,2)
(9160,2)
(4827,9)
(5515,9)
(10793,7)
(16241,4)
(1518,2)
(5847,10)
(10814,1)
(21669,4)
(9780,2)
(21477,3)
(19224,9)
(4998,3)
(6097,1)
(610,3)
(12513,1)
(8625,4)
(19536,6)
(5807,10)
(6090,8)
(3955,10)
(14874,1)
(12548,4)
(20417,6)
(4057,1)
(14956,2)
(75,1)
(14626,10)
(12622,1)
(15373,10)
(3759,2)
(4902,2)
(6335,2)
(21728,2)
(7569,2)
(17438,1)
(12598,8)
(13107,1)
(8280,1)
(18265,1)
(3010,2)
(15957,4)
(2065,3)
(7542,4)
(19257,1)
(19538,6)
(15605,3)
(17636,2)
(4768,2)
(15691,1)
(6391,8)
(14206,7)
(15814,10)
(15662,6)
(18959,7)
(12248,2)
(19009,6)
(2245,2)
(9988,3)
(8597,1)
(9898,3)
(4811,6)
(9228,2)
(6357,4)
(17166,2)
(13904,2)
(17431,4)
(20824,1)
(21829,5)
(1409,7)
(6642,6)
(1447,3)
(21456,1)
(6213,4)
(6354,2)
(2823,5)
(4714,1)
(2461,10)
(4302,3)
(3856,2)
(15763,7)
(1042,2)
(10475,9)
(5850,4)
(14567,2)
(1300,8)
(18958,7)
(270,7)
(10825,3)
(15098,6)
(20495,8)
(1850,5)
(17725,2)
(3194,1)
(14145,4)
(12149,10)
(13378,2)
(2787,4)
(4652,4)
(597,4)
(16456,5)
(3653,7)
(14595,2)
(17884,3)
(20707,4)
(7974,4)
(14883,2)
(17395,1)
(19218,1)
(10473,3)
(21362,2)
(5811,4)
(18536,2)
(13955,7)
(15768,1)
(13297,5)
(16102,4)
(19562,5)
(6743,1)
(16050,7)
(8324,9)
(9051,3)
(11314,9)
(8688,1)
(20561,4)
(676,9)
(7827,3)
(12430,2)
(14,7)
(7555,2)
(3146,9)
(11663,1)
(7920,7)
(19397,4)
(8380,7)
(21787,4)
(931,2)
(3686,8)
(7834,4)
(11984,4)
(18011,1)
(1742,1)
(10181,1)
(12980,5)
(20869,2)
(899,4)
(8352,3)
(9568,5)
(13563,3)
(11079,3)
(13525,1)
(16999,2)
(9004,6)
(16463,10)
(18233,3)
(6510,3)
(19159,2)
(803,5)
(15390,4)
(999,3)
